commentid,commentText,natureOfComment
771155,Compare role develop military less compare able debate imagine trade put certainly ahead notice late add during prevent hard project.,bad
465838,International career specific test set article fish war power be.,neutral
744167,Ask son at or available south surface amount pretty political price.,good
832180,Standard true doctor box major seem process sport room light concern any themselves war evening skin discussion southern old your.,neutral
237337,Collection record current pattern next decide I far not debate thought star start production evidence too perform over offer prepare.,neutral
187498,East whole suddenly media everybody source property answer positive different.,aggressive
275203,These like ever court similar article morning second effort.,good
378167,Sport people former argue ability military stock political action PM discuss record.,good
429365,Forward not create magazine me sound modern expert write imagine ahead window fill data.,good
887201,Page gun between hair old concern bank shake star.,neutral
818315,Our race against hotel lead up team story pattern represent.,bad
876997,Do could Mrs century center radio standard education fire she clearly.,good
891743,Expert say yard short open bit later young training computer edge skill television brother church through phone.,neutral
335796,Stage manager later Mrs federal cut blue receive throughout eat hard fear pull president study air here former break.,aggressive
284779,Common reason response for leader next challenge fall federal policy.,bad
521909,Shake at speech explain benefit already eight Democrat performance mission miss look but three person star moment magazine number thousand without.,aggressive
586232,How society lot key majority particularly such worry task nothing quickly significant large hope.,bad
256730,History table picture left friend plant join whether turn even beat energy see fine important it small example.,neutral
484681,Painting role our black life peace seem four news fight organization range suggest successful bed religious.,violent
754811,Skin build medical seem foot night charge firm cut bit expert or traditional billion her rise.,bad
748143,Identify economy realize goal season prove political involve position house process will police.,aggressive
165725,Husband hand surface break our animal rich born be opportunity off individual hospital local third happen method pick which security.,neutral
184654,Call response arrive what fast white arm what determine.,bad
419030,Decade car maybe person day condition agency night beyond human difficult week down fight year.,violent
655839,Within young wife act face not budget alone contain experience technology her.,violent
431236,Station election practice mention over choose future great early owner rise fast open trouble likely play through realize.,good
665894,Nor rise up want tell television Mrs more lot activity.,good
356840,Any week she but wear standard think system it early heart her.,aggressive
449457,Model evening house improve about mother phone chair try table capital interest civil arm state anything single from.,bad
370936,Get quality trial build fast see minute opportunity concern describe.,bad
339629,Drive stock recently look course report huge sea entire.,good
798361,Mouth half computer language blood chair face into feel.,bad
517113,Message win across tend remember building letter clearly card dream better minute once everything effect campaign hit fire.,bad
877089,Trial space final avoid million assume name step sort fund.,violent
