PostID,HID
3744660000000000.0,5707
3777580000000000.0,6629
3777570000000000.0,8855
3777570000000000.0,7065
3777570000000000.0,7899
3777570000000000.0,3088
3777560000000000.0,6076
3777560000000000.0,7476
3777560000000000.0,2897
3776810000000000.0,2780
3776810000000000.0,2479
3776800000000000.0,6321
3776800000000000.0,6199
3776800000000000.0,2400
3776790000000000.0,7930
3775420000000000.0,7646
3774660000000000.0,1764
3774310000000000.0,5844
3774310000000000.0,6021
3774310000000000.0,4125
3773930000000000.0,1500
3773930000000000.0,2046
3773920000000000.0,3375
3773920000000000.0,6379
3773360000000000.0,4316
3773210000000000.0,6364
3773200000000000.0,1856
3773200000000000.0,2739
3773200000000000.0,3354
3773200000000000.0,8586
3773200000000000.0,7364
3773200000000000.0,3724
3773200000000000.0,2934
3773200000000000.0,2483
3773190000000000.0,6138
3772860000000000.0,5593
3772860000000000.0,6250
3772860000000000.0,4939
3772850000000000.0,5344
3772850000000000.0,8386
3772850000000000.0,9767
3772840000000000.0,4127
3772840000000000.0,9749
3772840000000000.0,5630
3771030000000000.0,8820
3771030000000000.0,3802
3771020000000000.0,9186
3770690000000000.0,4950
3770690000000000.0,7681
3770680000000000.0,7768
3770680000000000.0,1866
3770680000000000.0,9713
3770680000000000.0,4383
3770680000000000.0,2313
3768540000000000.0,7408
3768530000000000.0,4125
3768530000000000.0,1965
3768530000000000.0,7695
3768530000000000.0,3676
3768530000000000.0,7476
3768530000000000.0,9871
3768530000000000.0,1447
3768520000000000.0,7967
3768520000000000.0,7991
3768520000000000.0,6505
3768520000000000.0,5671
3768520000000000.0,7821
3768520000000000.0,5923
3768190000000000.0,5716
3768190000000000.0,4892
3768190000000000.0,6337
3768190000000000.0,2770
3768180000000000.0,2765
3768180000000000.0,8340
3768180000000000.0,9967
3768170000000000.0,8586
3768170000000000.0,9783
3768170000000000.0,7263
3768170000000000.0,2369
3768170000000000.0,2559
3768170000000000.0,9544
3768160000000000.0,1747
3768160000000000.0,9072
3768160000000000.0,2372
3768160000000000.0,1960
3768160000000000.0,7393
3768160000000000.0,5844
3768160000000000.0,7991
3767740000000000.0,2162
3767730000000000.0,4518
3771830000000000.0,7683
3776830000000000.0,8695
3775690000000000.0,9864
3775690000000000.0,8758
3775690000000000.0,8116
3775680000000000.0,3166
3775670000000000.0,8492
3775670000000000.0,1487
3775650000000000.0,9487
3775400000000000.0,1360
3775350000000000.0,4397
3771850000000000.0,4950
3771700000000000.0,1733
3771690000000000.0,2513
3777560000000000.0,3115
3775730000000000.0,7065
3775680000000000.0,2835
3773870000000000.0,8331
3773230000000000.0,1718
3773220000000000.0,1107
3771570000000000.0,6384
3771550000000000.0,2957
3771540000000000.0,3481
3771520000000000.0,3246
3771450000000000.0,9998
3771440000000000.0,6956
3771440000000000.0,9654
3771420000000000.0,6792
3771400000000000.0,3650
3777750000000000.0,8722
3777510000000000.0,4774
3777390000000000.0,2880
3777250000000000.0,4011
3777000000000000.0,9915
3776320000000000.0,4680
3776190000000000.0,2730
3776050000000000.0,8025
3775830000000000.0,8637
3775810000000000.0,8692
3775780000000000.0,2044
3775760000000000.0,4939
3775730000000000.0,1625
3775710000000000.0,2426
3775690000000000.0,6379
3775660000000000.0,5204
3775640000000000.0,2745
3775610000000000.0,5656
3775590000000000.0,6948
3775570000000000.0,5608
3775490000000000.0,8703
3775470000000000.0,8704
3773210000000000.0,2175
3773190000000000.0,1245
3773170000000000.0,6313
3773150000000000.0,7470
3773110000000000.0,9058
3773090000000000.0,8871
3772960000000000.0,6090
3772930000000000.0,1321
3772240000000000.0,2730
3772210000000000.0,7049
3772190000000000.0,5151
3772160000000000.0,7634
3772030000000000.0,9930
3772010000000000.0,7650
3771880000000000.0,1291
3771860000000000.0,2087
3771840000000000.0,2992
3771810000000000.0,5834
3771790000000000.0,3818
3771770000000000.0,1346
3771740000000000.0,2783
3771720000000000.0,5597
3771700000000000.0,1623
3771670000000000.0,4592
3771650000000000.0,5844
3771520000000000.0,3957
3771500000000000.0,6735
3771480000000000.0,2055
3771190000000000.0,7328
3771110000000000.0,2156
3770770000000000.0,9544
3770720000000000.0,8331
3770660000000000.0,8185
3770600000000000.0,2226
3770550000000000.0,9412
3770450000000000.0,4445
3770340000000000.0,5834
3770280000000000.0,4038
3770230000000000.0,9904
3761050000000000.0,1031
3760900000000000.0,2623
3757830000000000.0,3399
3757590000000000.0,5269
3757540000000000.0,8637
3757490000000000.0,4139
3757440000000000.0,1037
3757070000000000.0,5635
3722330000000000.0,3588
3703730000000000.0,5750
3703530000000000.0,8415
3703410000000000.0,5216
3703280000000000.0,3697
3703160000000000.0,8917
3703070000000000.0,1538
3702970000000000.0,5147
3702900000000000.0,6972
3702790000000000.0,4060
3702710000000000.0,1965
3702680000000000.0,3818
3702560000000000.0,1321
3702450000000000.0,9998
3702350000000000.0,6133
3702250000000000.0,9372
3702220000000000.0,2608
3702130000000000.0,1700
3701980000000000.0,6438
3701820000000000.0,2090
3701710000000000.0,1625
3777610000000000.0,4482
3777600000000000.0,9491
3777600000000000.0,1763
3777100000000000.0,2543
3777100000000000.0,2287
3777090000000000.0,9749
3776720000000000.0,1019
3776720000000000.0,1346
3776710000000000.0,8236
3776120000000000.0,5864
3776120000000000.0,2543
3776110000000000.0,7049
3775780000000000.0,6557
3775770000000000.0,9487
3775760000000000.0,2765
3775320000000000.0,4937
3775310000000000.0,4950
3775310000000000.0,6199
3775090000000000.0,5505
3775080000000000.0,7066
3775080000000000.0,2126
3774640000000000.0,8893
3774630000000000.0,1321
3774620000000000.0,9186
3774290000000000.0,6916
3774290000000000.0,4131
3774280000000000.0,5967
3773840000000000.0,8323
3773830000000000.0,4950
3773830000000000.0,6266
3772390000000000.0,9948
3772380000000000.0,9403
3772380000000000.0,1131
3771650000000000.0,7786
3759710000000000.0,3876
3759700000000000.0,2835
3759690000000000.0,6397
3740930000000000.0,1496
3740920000000000.0,8556
3740920000000000.0,3358
3740150000000000.0,6916
3740140000000000.0,7695
3740140000000000.0,2803
3739750000000000.0,4592
3739740000000000.0,6021
3739740000000000.0,8832
3739500000000000.0,2740
3739490000000000.0,3726
3739490000000000.0,3225
3739220000000000.0,5656
3739220000000000.0,3036
3739210000000000.0,7247
3738720000000000.0,1088
3738710000000000.0,9285
3738710000000000.0,6697
3738330000000000.0,2295
3738320000000000.0,1538
3738310000000000.0,5516
3737650000000000.0,7339
3737650000000000.0,2038
3737640000000000.0,2739
3737340000000000.0,7311
3737340000000000.0,1088
3737330000000000.0,2156
3736150000000000.0,7266
3736140000000000.0,9030
3736140000000000.0,2372
3735790000000000.0,4482
3735780000000000.0,1088
3735780000000000.0,2162
3735040000000000.0,2915
3735030000000000.0,1511
3735030000000000.0,7683
3734800000000000.0,1461
3734800000000000.0,4497
3734790000000000.0,6916
3726350000000000.0,4131
3726350000000000.0,5902
3726340000000000.0,5661
3726020000000000.0,3213
3726010000000000.0,6792
3726010000000000.0,4592
3725630000000000.0,1487
3725620000000000.0,3726
3725620000000000.0,3876
3725270000000000.0,1592
3725270000000000.0,4405
3725270000000000.0,1101
3724670000000000.0,5763
3724670000000000.0,8864
3772130000000000.0,2153
3772130000000000.0,4692
3776430000000000.0,6706
3777680000000000.0,4038
3777680000000000.0,3412
3777660000000000.0,6790
3777160000000000.0,1319
3777160000000000.0,9485
3777120000000000.0,4448
3777120000000000.0,6547
3776910000000000.0,3517
3776210000000000.0,4127
3776080000000000.0,7329
3775350000000000.0,9159
3775350000000000.0,9461
3775050000000000.0,7634
3775000000000000.0,5956
3774970000000000.0,4260
3774970000000000.0,6517
3774760000000000.0,5659
3774760000000000.0,9584
3774750000000000.0,1682
3774750000000000.0,6310
3774260000000000.0,2880
3774260000000000.0,3582
3773900000000000.0,1960
3773890000000000.0,5902
3773680000000000.0,4892
3773680000000000.0,3149
3772970000000000.0,4127
3772960000000000.0,9732
3772610000000000.0,3944
3772610000000000.0,5216
3772080000000000.0,5047
3772080000000000.0,6930
3772070000000000.0,2995
3772070000000000.0,6286
3772070000000000.0,9999
3772070000000000.0,5505
3771150000000000.0,3516
3770790000000000.0,6956
3770790000000000.0,5844
3770430000000000.0,7623
3769350000000000.0,8006
3769350000000000.0,8236
3769350000000000.0,8893
3769340000000000.0,4053
3769340000000000.0,2617
3769260000000000.0,8779
3769190000000000.0,7550
3769190000000000.0,4589
3769190000000000.0,8273
3769190000000000.0,2880
3769190000000000.0,9159
3769190000000000.0,4892
3769190000000000.0,8367
3768980000000000.0,7176
3768980000000000.0,1540
3768980000000000.0,2162
3768980000000000.0,5506
3768830000000000.0,9303
3768830000000000.0,9373
3768720000000000.0,6869
3768720000000000.0,7429
3768530000000000.0,7787
3768530000000000.0,2090
3768530000000000.0,4706
3768470000000000.0,3036
3768470000000000.0,1623
3768460000000000.0,8071
3768450000000000.0,3115
3768450000000000.0,9745
3768450000000000.0,4125
3767880000000000.0,6318
3767850000000000.0,8720
3767740000000000.0,7824
3767740000000000.0,6209
3767740000000000.0,3991
3767740000000000.0,4346
3767160000000000.0,9948
3767160000000000.0,5141
3767160000000000.0,7266
3766440000000000.0,8457
3765570000000000.0,7378
3765200000000000.0,5974
3764620000000000.0,8446
3764610000000000.0,2512
3764590000000000.0,9373
3763380000000000.0,7409
3763090000000000.0,8780
3769300000000000.0,7339
3777520000000000.0,8893
3776950000000000.0,1623
3774980000000000.0,4698
3774750000000000.0,8855
3774410000000000.0,6336
3774050000000000.0,7486
3774040000000000.0,1758
3773850000000000.0,6956
3773850000000000.0,5502
3773850000000000.0,8758
3773850000000000.0,9725
3773850000000000.0,3246
3773640000000000.0,2330
3773530000000000.0,6955
3772460000000000.0,3724
3772060000000000.0,8464
3772060000000000.0,8946
3771890000000000.0,9904
3771830000000000.0,7364
3771830000000000.0,3115
3771820000000000.0,4703
3771820000000000.0,8986
3771810000000000.0,7486
3770780000000000.0,2175
3769930000000000.0,5151
3769890000000000.0,5303
3769890000000000.0,6706
3769880000000000.0,5505
3769320000000000.0,2087
3769320000000000.0,9896
3769310000000000.0,2934
3769310000000000.0,3582
3769180000000000.0,4245
3769180000000000.0,9333
3769180000000000.0,5932
3769180000000000.0,6138
3769180000000000.0,1353
3769180000000000.0,3816
3769180000000000.0,5191
3769180000000000.0,9630
3769180000000000.0,5393
3769180000000000.0,7768
3769180000000000.0,3249
3769150000000000.0,2559
3767130000000000.0,8323
3767130000000000.0,8998
