postId,likeCount,likeID,commentID
3744660000000000.0,33896,221958,771155
3777580000000000.0,38407,231932,465838
3777570000000000.0,31512,359178,744167
3777570000000000.0,60073,210268,832180
3777570000000000.0,62348,154886,237337
3777570000000000.0,36641,621430,187498
3777560000000000.0,28345,999159,275203
3777560000000000.0,45881,291335,378167
3777560000000000.0,47202,141090,429365
3776810000000000.0,45172,164820,887201
3776810000000000.0,62784,421879,818315
3776800000000000.0,57173,427069,876997
3776800000000000.0,22531,299041,891743
3776800000000000.0,34292,203355,335796
3776790000000000.0,142,314176,284779
3775420000000000.0,40771,447449,521909
3774660000000000.0,32491,358795,586232
3774310000000000.0,31312,600186,256730
3774310000000000.0,90131,970910,484681
3774310000000000.0,21335,249503,754811
3773930000000000.0,8682,627035,748143
3773930000000000.0,45409,552366,165725
3773920000000000.0,72579,229981,184654
3773920000000000.0,30591,691723,419030
3773360000000000.0,44474,428947,655839
3773210000000000.0,22166,373538,431236
3773200000000000.0,7,628178,665894
3773200000000000.0,33611,589492,356840
3773200000000000.0,41920,573254,449457
3773200000000000.0,24627,765987,370936
3773200000000000.0,32710,339931,339629
3773200000000000.0,1499,305041,798361
3773200000000000.0,46935,831912,517113
3773200000000000.0,41589,168148,877089
3773190000000000.0,40344,748531,351995
3772860000000000.0,40970,778843,672843
3772860000000000.0,50677,356508,903591
3772860000000000.0,46767,996942,206530
3772850000000000.0,53660,704365,922352
3772850000000000.0,66977,560337,824839
3772850000000000.0,60388,905889,559773
3772840000000000.0,41321,308261,864469
3772840000000000.0,62171,441097,415139
3772840000000000.0,36422,271829,371836
3771030000000000.0,35246,538974,302283
3771030000000000.0,50406,296769,661353
3771020000000000.0,50267,323165,723587
3770690000000000.0,115441,635822,587879
3770690000000000.0,32228,664685,882038
3770690000000000.0,96825,453531,363160
3770680000000000.0,70059,679879,320884
3770680000000000.0,64328,123247,124300
3770680000000000.0,93662,567281,707086
3770680000000000.0,166,633556,448951
3770680000000000.0,27863,374329,819064
3768540000000000.0,41842,842139,532315
3768530000000000.0,55407,616588,336584
3768530000000000.0,60831,662332,937646
3768530000000000.0,39051,476896,148984
3768530000000000.0,74285,402918,364712
3768530000000000.0,81174,220151,555808
3768530000000000.0,90224,233767,748663
3768530000000000.0,105966,803550,236330
3768520000000000.0,42863,580754,401648
3768520000000000.0,18425,788519,113986
3768520000000000.0,45029,686146,229312
3768520000000000.0,71193,112666,400804
3768520000000000.0,1260,234633,388998
3768520000000000.0,29793,950937,728776
3768190000000000.0,38919,807611,384806
3768190000000000.0,41354,894824,130535
3768190000000000.0,81107,475713,938688
3768190000000000.0,89294,451279,921654
3768180000000000.0,31598,701661,747972
3768180000000000.0,62276,589570,556551
3768180000000000.0,51798,373109,124538
3768170000000000.0,36191,994498,301664
3768170000000000.0,1795,591234,999684
3768170000000000.0,119,239182,572525
3768170000000000.0,16,258338,284064
3768170000000000.0,154,314020,723094
3768170000000000.0,136,997421,715270
3768160000000000.0,905,745914,219176
3768160000000000.0,133,318126,318969
3768160000000000.0,139,222409,647707
3768160000000000.0,1729,353618,869598
3768160000000000.0,98,150015,872838
3768160000000000.0,1736,222096,731347
3768160000000000.0,167,285340,210687
3767740000000000.0,106,974371,511357
3767730000000000.0,758,835716,205878
3771830000000000.0,548,827270,298286
3776830000000000.0,784,873290,874684
3775690000000000.0,924,264899,424767
3775690000000000.0,329,961882,979858
3775690000000000.0,194,479989,515515
3775680000000000.0,3762,143585,471369
3775670000000000.0,488,164044,542296
3775670000000000.0,564,209556,626981
3775650000000000.0,1237,981691,867595
3775400000000000.0,377,300235,125939
3775350000000000.0,385,252906,642335
3771850000000000.0,289,388249,175766
3771700000000000.0,482,508923,515192
3771690000000000.0,261,668550,487261
3777560000000000.0,566,910208,785440
3775730000000000.0,416,752664,554589
3775680000000000.0,367,237848,717075
3773870000000000.0,422,227948,679304
3773230000000000.0,111,502690,599046
3773220000000000.0,238,551269,121959
3771570000000000.0,1192,760890,850216
3771550000000000.0,1522,890180,328576
3771540000000000.0,5223,637833,265838
3771520000000000.0,372,435674,979989
3771450000000000.0,351,161087,693128
3771440000000000.0,1359,218451,547600
3771440000000000.0,154,937437,539792
3771420000000000.0,1806,139353,293075
3771400000000000.0,519014,314283,414877
3777750000000000.0,1248,165318,865313
3777510000000000.0,5314,582690,516880
3777390000000000.0,1877,691460,840976
3777250000000000.0,622,881239,193264
3777000000000000.0,473,870746,913168
3776320000000000.0,226,325281,737147
3776190000000000.0,457,998613,494070
3776050000000000.0,942,452228,531839
3775830000000000.0,283,369536,417824
3775810000000000.0,309,357426,277789
3775780000000000.0,210,613153,842452
3775760000000000.0,81,937291,225657
3775730000000000.0,335,335167,781669
3775710000000000.0,589,580671,819094
3775690000000000.0,1078,170467,283734
3775660000000000.0,1108,722794,209751
3775640000000000.0,460,481050,911774
3775610000000000.0,508,792517,561079
3775590000000000.0,69,468452,206081
3775570000000000.0,93,713333,658986
3775490000000000.0,354,210078,967055
3775470000000000.0,34,122671,518400
3773210000000000.0,245,455528,710490
3773190000000000.0,4377,151663,115708
3773170000000000.0,172,978338,411955
3773150000000000.0,1862,233883,418394
3773110000000000.0,475,212547,659042
3773090000000000.0,470,851102,862002
3772960000000000.0,242,242483,758271
3772930000000000.0,1537,314835,501896
3772240000000000.0,1849,184896,577095
3772210000000000.0,3717,171295,843974
3772190000000000.0,2300,987121,373255
3772160000000000.0,8409,399648,757162
3772030000000000.0,2777,108155,566872
3772010000000000.0,375,925816,474705
3771880000000000.0,13965,671542,908350
3771860000000000.0,137,710269,654594
3771840000000000.0,1158,247718,408987
3771810000000000.0,3694,745263,458745
3771790000000000.0,1415,207512,247443
3771770000000000.0,584,570587,473616
3771740000000000.0,5945,757409,786976
3771720000000000.0,283,465871,475037
3771700000000000.0,1164,907364,217796
3771670000000000.0,1835,391999,292506
3771650000000000.0,1106,798376,369544
3771520000000000.0,645,480002,798002
3771500000000000.0,763,639439,690978
3771480000000000.0,1965,628787,630583
3771190000000000.0,520,488215,421184
3771110000000000.0,1544,898615,522515
3770770000000000.0,239,768234,478480
3770720000000000.0,854,132711,891971
3770660000000000.0,686,601157,284423
3770600000000000.0,1972,616349,803714
3770550000000000.0,1657,757917,924792
3770450000000000.0,274,837378,233272
3770340000000000.0,47,867836,802335
3770280000000000.0,363,907789,743409
3770230000000000.0,1840,177505,102869
3761050000000000.0,1974,881474,554351
3760900000000000.0,197,412252,736584
3757830000000000.0,1778,718467,190272
3757590000000000.0,82,138467,909760
3757540000000000.0,1609,977844,580047
3757490000000000.0,72,759347,158871
3757440000000000.0,1627,228391,539430
3757070000000000.0,1451,710704,956703
3722330000000000.0,1643,930496,356687
3703730000000000.0,1794,825451,207450
3703530000000000.0,1917,271890,538741
3703410000000000.0,929,381974,500109
3703280000000000.0,286,216381,573125
3703160000000000.0,1964,671621,234508
3703070000000000.0,1789,829650,962645
3702970000000000.0,1717,499111,250810
3702900000000000.0,1453,392890,673665
3702790000000000.0,1201,940477,460032
3702710000000000.0,1601,469599,760960
3702680000000000.0,1999,850020,979611
3702560000000000.0,1786,271836,829903
3702450000000000.0,1805,145714,727234
3702350000000000.0,1780,996048,730271
3702250000000000.0,1736,566960,811851
3702220000000000.0,1439,224123,405628
3702130000000000.0,1626,182989,398356
3701980000000000.0,1076,929957,278274
3701820000000000.0,1588,787995,425352
3701710000000000.0,97,920260,511927
3777610000000000.0,206,889852,983184
3777600000000000.0,1264,231373,538452
3777600000000000.0,305,215294,559451
3777100000000000.0,285,748307,165726
3777100000000000.0,256,241564,477812
3777090000000000.0,135,368246,805696
3776720000000000.0,727,218015,840674
3776720000000000.0,1704,354079,650929
3776710000000000.0,181,789944,788105
3776120000000000.0,346,613758,465890
3776120000000000.0,268,545101,136631
3776110000000000.0,718,866577,172991
3775780000000000.0,72,104014,373237
3775770000000000.0,373,118070,922209
3775760000000000.0,380,156958,182074
3775320000000000.0,76,635017,855073
3775310000000000.0,2198,276089,297392
3775310000000000.0,181,258823,730152
3775090000000000.0,1699,493002,833429
3775080000000000.0,804,598863,467654
3775080000000000.0,181,679036,630089
3774640000000000.0,1026,250262,542905
3774630000000000.0,1811,335362,544209
3774620000000000.0,1284,653880,897079
3774290000000000.0,1954,764076,319963
3774290000000000.0,1997,580761,348710
3774280000000000.0,175,320984,997059
3773840000000000.0,18,956748,882355
3773830000000000.0,1572,364512,701863
3773830000000000.0,1356,368799,337549
3772390000000000.0,1355,694319,584299
3772380000000000.0,1524,712210,548982
3772380000000000.0,194,224046,506619
3771650000000000.0,283,132097,766326
3759710000000000.0,1988,749150,330229
3759700000000000.0,34,218834,193848
3759690000000000.0,1209,152921,805086
3740930000000000.0,1986,750429,805660
3740920000000000.0,1651,384821,155609
3740920000000000.0,203,327897,131024
3740150000000000.0,27,170313,489957
3740140000000000.0,839,284078,457429
3740140000000000.0,679,561243,213632
3739750000000000.0,1353,351451,103051
3739740000000000.0,170,804107,476836
3739740000000000.0,217,711523,821772
3739500000000000.0,266,289407,549395
3739490000000000.0,196,562894,311810
3739490000000000.0,1091,827975,173523
3739220000000000.0,85,860463,194476
3739220000000000.0,1129,333841,903451
3739210000000000.0,468,970045,322866
3738720000000000.0,248,186672,698135
3738710000000000.0,1904,444894,834994
3738710000000000.0,1599,128251,727769
3738330000000000.0,1660,474710,650233
3738320000000000.0,1619,977284,132217
3738310000000000.0,744,108308,368093
3737650000000000.0,150,283062,494366
3737650000000000.0,833,844840,200235
3737640000000000.0,1501,174740,478496
3737340000000000.0,1302,953049,850201
3737340000000000.0,722,903328,277247
3737330000000000.0,1705,763165,629525
3736150000000000.0,1374,120056,276615
3736140000000000.0,710,287628,738836
3736140000000000.0,1854,473632,234415
3735790000000000.0,1997,506716,546438
3735780000000000.0,1877,653663,765022
3735780000000000.0,493,641252,737717
3735040000000000.0,269,352764,814998
3735030000000000.0,1642,566882,840427
3735030000000000.0,383,612153,167215
3734800000000000.0,943,955474,244356
3734800000000000.0,840,303861,455612
3734790000000000.0,1686,554605,109435
3726350000000000.0,1251,547556,799438
3726350000000000.0,1310,965264,675581
3726340000000000.0,145,178781,291475
3726020000000000.0,2192,260196,326507
