GroupID,AccountProfileID,Role
29,5327940246,co-admin
221,5070835945,member
319,5253222500,admin
42,3978478347,member
111,1946260857,admin
316,2369278982,admin
485,2135365957,member
285,2917481885,co-admin
411,5288497721,member
308,3045433544,admin
251,5067843343,admin
25,3794231150,co-admin
202,5091205282,admin
116,5047026697,member
311,3290085731,member
470,2433891553,co-admin
460,2756229913,co-admin
139,3043456582,co-admin
373,3928008958,co-admin
447,3317135475,admin
178,3115633655,admin
485,2998955031,member
22,2783296727,member
446,3509908537,admin
260,3153376265,co-admin
218,5314984588,co-admin
26,2099176022,co-admin
132,2998846537,co-admin
185,1816149650,member
48,5292909246,admin
93,3176097885,member
470,2206178062,admin
176,3478676404,admin
115,2752412827,co-admin
124,5183258983,co-admin
7,5292169887,admin
282,3108644371,admin
27,5207784570,co-admin
229,5060165069,admin
210,5082619309,member
273,5213178647,co-admin
339,3863846328,member
335,5321745855,admin
358,3095458555,co-admin
399,1281697970,co-admin
286,3865178939,member
19,2591496463,admin
220,5328371055,co-admin
475,3846059440,member
24,5297484168,member
296,2711584302,co-admin
16,2927571741,co-admin
202,2939603243,co-admin
203,3769568383,admin
418,1657305867,co-admin
191,2135660105,member
396,3972850415,member
96,2616574183,admin
205,3808641792,admin
217,3105758085,admin
3,5288758447,admin
202,1525459210,co-admin
226,2650614937,member
280,3815186272,member
415,5074592235,admin
108,1947934994,admin
101,1884580820,co-admin
230,5230708315,co-admin
388,3494823804,member
443,3506019310,member
206,3905166101,member
269,3854632362,admin
280,2928934625,member
86,5128100810,admin
204,5133072572,member
220,2294925452,member
16,1771871902,member
315,3579583785,co-admin
484,1907375965,member
292,5258621784,co-admin
306,3220605831,admin
190,3235513024,member
108,5075819605,co-admin
146,5330748277,co-admin
426,1750102525,admin
4,5327940246,admin
38,3045965497,member
118,5287002832,co-admin
57,5145819330,admin
262,3973476742,co-admin
328,5077444262,member
208,3085562597,admin
490,5095688244,admin
226,2844652117,admin
425,5273984150,member
10,3508064890,member
306,3305483215,co-admin
310,3487109923,co-admin
462,3239888252,admin
228,5102829050,co-admin
408,3231687144,member
1,3268289111,co-admin
400,3491682587,member
156,5186349291,co-admin
159,5221908457,member
73,2106961167,admin
435,2431826387,co-admin
266,2372159932,co-admin
103,3973176410,member
157,2150860295,member
112,2992480733,admin
465,5336090057,admin
81,3128285735,co-admin
377,5095688244,admin
467,1783493530,admin
429,1838436697,co-admin
126,5056604276,co-admin
176,3936653177,admin
325,1997833941,co-admin
479,5183341880,co-admin
373,5083036666,admin
250,2441132492,member
431,3262775061,member
237,3466674484,co-admin
138,2753118715,co-admin
34,5072033134,co-admin
471,2672349047,member
361,5248704060,admin
276,3226454971,member
13,3700712884,co-admin
103,2077304555,member
314,5260613821,member
91,1820931267,member
280,2262690143,admin
46,3226436875,member
20,5347514708,admin
150,3223638424,co-admin
321,2796368541,co-admin
373,2476196031,co-admin
197,2517634522,admin
478,5246220064,member
124,3975118831,admin
314,5243997170,member
142,5293711155,co-admin
384,2791132033,co-admin
248,5338155249,admin
17,5212961929,co-admin
308,3231687144,admin
170,2540277553,admin
4,5205587822,admin
175,3307396821,co-admin
74,3159723572,member
466,1593829195,member
434,3958171384,member
192,3089646201,co-admin
70,5026905215,admin
314,5065049442,admin
222,5081112592,member
393,5255601983,admin
149,5121909728,admin
302,2078828767,member
205,2953032833,admin
138,2817667497,member
155,3929279639,admin
302,3105510977,admin
270,2882509885,admin
483,5183258983,admin
482,3273222014,admin
35,2069445967,admin
135,2189162367,co-admin
315,3934166411,admin
232,2053853607,member
109,3180472204,member
177,3962727604,admin
455,3896594594,co-admin
348,5313901055,member
155,3219960563,co-admin
491,3722485812,admin
328,3198171532,member
123,5374558237,admin
224,5110021705,admin
226,1408320155,co-admin
255,2103565777,co-admin
211,1911746955,co-admin
89,5073651887,co-admin
204,5376045863,admin
159,3219591404,co-admin
11,3215234072,member
141,3978635531,admin
462,1841252397,co-admin
445,5351846916,admin
435,5289226310,admin
4,2885109733,admin
170,5066357584,co-admin
277,3574300935,co-admin
223,5107735738,member
356,2872405111,admin
190,3292480873,co-admin
66,5144370035,member
494,1937035695,admin
306,2871422095,co-admin
423,5217772559,co-admin
258,2718205147,member
361,1761652111,admin
499,5333511659,admin
352,5220612202,member
115,3559092794,co-admin
492,2456388355,member
261,2106521253,co-admin
223,2476474040,admin
227,5052984124,admin
1,2891854953,co-admin
247,2420513115,co-admin
330,2017998315,member
284,2454094535,member
305,3686639760,admin
278,3606984847,admin
154,3820263701,admin
178,3309926043,member
391,3300196252,co-admin
357,3930497976,co-admin
69,2682314143,admin
8,2576925500,member
461,2243160331,admin
314,5346606055,co-admin
386,5224392885,admin
28,1887078675,member
272,5312688755,co-admin
491,3926177866,admin
325,5088660513,member
278,1979527325,admin
477,2953423345,member
310,5201596295,admin
190,3498275800,co-admin
377,3852359559,member
24,2121230800,co-admin
385,3847082898,member
354,2407181094,member
278,3175957754,admin
326,5140488308,member
405,1941038494,co-admin
269,3115216163,co-admin
253,5085355618,admin
293,1747675650,admin
425,5334918405,admin
113,5212694418,admin
419,5017737475,admin
466,2431229383,admin
243,3045006490,admin
222,3816979372,member
137,3147622413,member
262,5242618311,member
212,5243886581,co-admin
331,5033875961,member
140,2122231733,co-admin
211,2689940372,admin
399,3749456691,member
299,2018983917,co-admin
307,3653518961,member
26,5043690900,co-admin
78,3978480289,co-admin
41,1822805671,member
466,5228350308,admin
78,3539162605,co-admin
64,2597016504,co-admin
488,2833943527,member
265,2773866841,co-admin
139,2607112951,admin
243,3554706010,member
214,2291510412,member
129,5049315798,member
104,3934961243,admin
473,5233091963,co-admin
47,5341229917,co-admin
171,5369922206,admin
231,3627154762,admin
22,2863375615,admin
51,3151883514,co-admin
439,2618829195,admin
377,2882509885,admin
349,2920459962,co-admin
33,1911578260,member
226,3909109509,member
483,3115633655,co-admin
400,5326908468,co-admin
403,5310749502,admin
384,2525829282,co-admin
322,5333511659,member
206,5069584590,co-admin
285,3464447642,co-admin
103,3259010934,admin
497,3104466017,admin
60,1759183613,member
157,3886362865,co-admin
